Accession	Title	TFOE	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1427002	TFOE_3630_3488	Rv3488	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427002/suppl		Tige Rustad	4-Jul-14
GSM1427003	TFOE_4902_3488	Rv3488	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427003/suppl		Tige Rustad	4-Jul-14
GSM1427004	TFOE_9515_3488	Rv3488	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427004/suppl		Tige Rustad	4-Jul-14
GSM1427005	TFOE_4076_3557c	Rv3557	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427005/suppl		Tige Rustad	4-Jul-14
GSM1427006	TFOE_8709_3557c	Rv3557	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427006/suppl		Tige Rustad	4-Jul-14
GSM1427007	TFOE_9860_3557c	Rv3557	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427007/suppl		Tige Rustad	4-Jul-14
GSM1427008	TFOE_3005_3574_A	Rv3574	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427008/suppl		Tige Rustad	4-Jul-14
GSM1427009	TFOE_3677_3574	Rv3574	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427009/suppl		Tige Rustad	4-Jul-14
GSM1427010	TFOE_4186_3574_B	Rv3574	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427010/suppl		Tige Rustad	4-Jul-14
GSM1427011	TFOE_7355_3574	Rv3574	RNA	Mycobacterium tuberculosis H37Rv	1	GPL14824	GSE59086	XYS	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1427nnn/GSM1427011/suppl		Tige Rustad	4-Jul-14
