metabolite,Mann-Whitney U1,Mann-Whitney U2,rho,p-value,adj p-value,tf,represented metabolites,name,compartment,formula,id,bigg_id,MetaNetX id,KEGG id,SEED id,CHEBI id,KEGG pathways,KEGG modules
ragund[c],32201.0,43895.0,0.42316284693019346,0.9895400689506989,0.9987209172869325,Rv0022c,"{'galfragund[c]', 'agalfragund[c]', 'arabinanagalfragund[c]', 'unaga[c]'}",Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate [cytoplasm],c,C69H113N1O16P2,ragund[c],ragund_c,MNXM80754,,cpd15562,,,
acglu[c],39966.5,36129.5,0.5252115748528174,0.22437502352138738,0.9987209172869325,Rv0022c,set(),N-Acetyl-L-glutamate [cytoplasm],c,C7H9NO5,acglu[c],acglu_c,MNXM730,C00624,cpd00477,12575;17533;21549;21552;44335;44337;64040;7150;87274,Arginine biosynthesis;D-Amino acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
acg5sa[c],36267.0,39829.0,0.47659535323801516,0.7591560870737925,0.9987209172869325,Rv0022c,"{'acorn[c]', 'acg5p[c]'}",N-Acetyl-L-glutamate 5-semialdehyde [cytoplasm],c,C7H10NO4,acg5sa[c],acg5sa_c,MNXM1062,C01250,cpd00918,11493;12461;12577;16319;21551;29123;7152,Arginine biosynthesis;Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,"Ornithine biosynthesis, glutamate => ornithine;Arginine biosynthesis, glutamate => acetylcitrulline => arginine"
sucorn[c],33814.0,42282.0,0.44435975609756095,0.9527757876965932,0.9987209172869325,Rv0022c,"{'agm[c]', 'arg__L[c]', 'argsuc[c]', 'sucarg[c]', 'sucglu[c]', 'arg__L[e]', 'sucgsa[c]', 'citr__L[c]'}",N2-Succinyl-L-ornithine [cytoplasm],c,C9H15N2O5,sucorn[c],sucorn_c,MNXM1152,C03415,cpd02160,21822;27574;45896;58514;7375,Arginine and proline metabolism;Metabolic pathways,"Arginine succinyltransferase pathway, arginine => glutamate"
co[c],39836.0,36260.0,0.5234966358284272,0.2401064625291099,0.9987209172869325,Rv0022c,{'co[e]'},Carbon monoxide [cytoplasm],c,CO,co[c],co_c,MNXM10881,C00237,cpd00204,13281;17245;23013;3282;41526;58072,Chloroalkane and chloroalkene degradation;Methane metabolism;Other carbon fixation pathways;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Two-component system,"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway);Acetyl-CoA pathway, CO2 => acetyl-CoA"
icit[c],36995.0,39101.0,0.4861622161480236,0.6613214041494726,0.9987209172869325,Rv0022c,set(),Isocitrate [cytoplasm],c,C6H5O7,icit[c],icit_c,MNXM89661,C00311,cpd00260,14465;16087;24884;24886;30887;36453;36454;5998,"Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Other carbon fixation pathways;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Biosynthesis of alkaloids derived from histidine and purine;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Biosynthesis of cofactors;Glucagon signaling pathway;Central carbon metabolism in cancer","Citrate cycle (TCA cycle, Krebs cycle);Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate;Glyoxylate cycle;Reductive citrate cycle (Arnon-Buchanan cycle);Methylaspartate cycle"
2dmmql8[c],34884.0,41212.0,0.4584209419680404,0.8943130140456719,0.9987209172869325,Rv0022c,"{'mqn8[c]', 'mql8[c]', '2dmmq8[c]'}",2-Demethylmenaquinol 8 [cytoplasm],c,C50H72O2,2dmmql8[c],2dmmql8_c,MNXM558,,cpd15353,61873,,
hco3[c],35927.0,40169.0,0.4721273128679563,0.7989484255121451,0.9987209172869325,Rv0022c,set(),Bicarbonate [cytoplasm],c,CHO3,hco3[c],hco3_c,MNXM60,C00288;C01353,cpd00242,13351;13363;17544;22863;23017;23744;28976;29201;3401;40961;41605;41609;5589,Arginine biosynthesis;Purine metabolism;Other carbon fixation pathways;Atrazine degradation;Nitrogen metabolism;Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;cAMP signaling pathway;Meiosis - yeast;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion;Mineral absorption;Proximal tubule bicarbonate reclamation;Collecting duct acid secretion;Salivary secretion;Gastric acid secretion;Pancreatic secretion;Bile secretion,;
fe2[c],36652.0,39444.0,0.4816547518923465,0.7093673825744994,0.9987209172869325,Rv0022c,set(),Fe2+ mitochondria [cytoplasm],c,Fe,fe2[c],fe2_c,MNXM111,C14818,cpd10515,13319;13321;21129;24876;29033;34754;49599,Porphyrin metabolism;ABC transporters;HIF-1 signaling pathway;Hormone signaling;Ferroptosis;Mineral absorption;Alzheimer disease,
btn[c],30798.5,45297.5,0.40473218040370057,0.9979161810591081,0.9987209172869325,Rv0022c,set(),Biotin [cytoplasm],c,C10H15N2O3S,btn[c],btn_c,MNXM304,C00120,cpd00104,13905;15956;22882;22884;3108;41236;57586,Biotin metabolism;Metabolic pathways;Biosynthesis of cofactors;ABC transporters;Vitamin digestion and absorption,"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin;Biotin biosynthesis, BioI pathway, long-chain-acyl-ACP => pimeloyl-ACP => biotin;Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin;Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin"
