,Gene Expr MI Eigenvector Centrality
Rv0391,0.01768468738553655
Rv0392c,0.012686479340147518
Rv0393,0.014338211917340834
Rv0394c,0.016638730685189767
Rv0395,0.0126620084382636
Rv0396,0.0067581993482416095
Rv0397,0.012572571994722177
Rv0397A,0.014407081510443058
Rv0398c,0.016205619623201804
Rv0399c,0.012342860381358498
Rv0400c,0.01297352388612579
Rv0401,0.016917612372495273
Rv0402c,0.017260748761009127
Rv0403c,0.013503662984725497
Rv0404,0.016517444740981338
Rv0405,0.017603454212028122
Rv0406c,0.01715932440574098
Rv0407,0.013153173634297171
Rv0408,0.015232448700828707
Rv0409,0.013458585204335795
Rv0410c,0.021243562547293798
Rv0411c,0.020445693003737723
Rv0412c,0.022044842335136535
Rv0413,0.01086902282327959
Rv0414c,0.018224107055700142
Rv0415,0.011910865425816212
Rv0416,0.007069648255030213
Rv0417,0.014217307165484722
Rv0418,0.02088063211636292
Rv0419,0.015326951469323316
Rv0420c,0.01618607754945731
Rv0421c,0.01827878196326931
Rv0422c,0.018368066642252424
Rv0423c,0.01386679697946758
Rv0424c,0.01713832101648745
Rv0425c,0.014822247548589539
Rv0426c,0.007582670481179648
Rv0427c,0.02001834748990532
Rv0428c,0.019485957365494196
Rv0429c,0.016737356246504867
Rv0430,0.02234650708883478
Rv0431,0.0172999567881733
Rv0432,0.0186798582683413
Rv0433,0.01773614282587101
Rv0434,0.019563798310260377
Rv0435c,0.016945496594318713
Rv0436c,0.01524118481931292
Rv0437c,0.014462532872256264
Rv0438c,0.01783922265046041
Rv0439c,0.015597642462808144
Rv0440,0.020150374065441436
Rv0441c,0.008219097941737566
Rv0442c,0.014245477269915442
Rv0443,0.010276973966252777
Rv0444c,0.020810557027581396
Rv0445c,0.02027047509300891
Rv0446c,0.017639519468930755
Rv0447c,0.018056074146042
Rv0448c,0.012809737148788356
Rv0449c,0.01852092298046713
Rv0450c,0.018428445303504064
Rv0451c,0.016334982202030984
Rv0452,0.015047992012395022
Rv0453,0.016937661459571585
Rv0455c,0.013256579703783494
Rv0456A,0.00987938920786832
Rv0456B,0.01199854296427733
Rv0456c,0.014486549628106148
Rv0457c,0.015919239516996083
Rv0458,0.009925553946042075
Rv0459,0.009995930858896896
Rv0460,0.01755058259291711
Rv0461,0.020123039378134644
Rv0462,0.01783527832116894
Rv0463,0.015392753665480697
Rv0464c,0.01819048009453341
Rv0465c,0.021446731477553525
Rv0466,0.01617507791470843
Rv0467,0.014841811812932763
Rv0468,0.016906629685536672
Rv0469,0.012355571438509105
Rv0470A,0.014863916345886213
Rv0470c,0.01201311657452757
Rv0471c,0.016506065500334236
Rv0472c,0.016689344957214875
Rv0473,0.01749265478935272
Rv0474,0.01421849948196557
Rv0475,0.011518435621447125
Rv0476,0.013568859480395483
Rv0477,0.01440493152947907
Rv0478,0.016199899421713012
Rv0479c,0.016473683497045994
Rv0480c,0.014431779581049922
Rv0481c,0.011648890675485935
Rv0482,0.016885419588608924
Rv0483,0.015765529983320564
Rv0484c,0.01665857234919481
Rv0485,0.013535216734514756
Rv0486,0.015496422419807018
Rv0487,0.013441783698190851
Rv0488,0.015040229083387018
Rv0489,0.018727817242879457
Rv0490,0.01739946283818579
Rv0491,0.017942529423640368
Rv0492A,0.0078032697978308785
Rv0492c,0.01632134919570532
Rv0493c,0.012102992178599824
Rv0494,0.021130586473088728
Rv0495c,0.01711472344369768
Rv0496,0.012477963546062463
Rv0497,0.014934272430666227
Rv0498,0.01857995683267798
Rv0499,0.020964900989292417
Rv0500,0.017835967592448612
Rv0500A,0.017867179989513593
Rv0501,0.01670616506935284
Rv0502,0.013940130001469665
Rv0503c,0.017135716832537076
Rv0504c,0.017730249766825926
Rv0505c,0.011526157531955848
Rv0506,0.01722549772329145
Rv0507,0.017131473694365823
Rv0508,0.01566674370296556
Rv0509,0.019897625202437933
Rv0510,0.020239665063411516
Rv0511,0.021960450224062334
Rv0512,0.022921678355863357
Rv0513,0.022344060497586624
Rv0514,0.016727223724430536
Rv0515,0.023501198763033485
Rv0516c,0.01793778550267458
Rv0517,0.02058048331279189
Rv0518,0.02433562067063296
Rv0519c,0.01510441863818095
Rv0522,0.013888642406912934
Rv0523c,0.017362647492166924
Rv0524,0.018683104723539762
Rv0525,0.02104437457178314
Rv0526,0.021157175554039093
Rv0527,0.018162104789909584
Rv0528,0.02046953106121518
Rv0529,0.019507557942377924
Rv0530,0.011596803134660594
Rv0531,0.013296788860277676
Rv0532,0.01062163775785616
Rv0533c,0.017498517955904323
Rv0534c,0.015502196512946388
Rv0535,0.014145069291086911
Rv0536,0.014760823618040628
Rv0537c,0.016759593091251596
Rv0538,0.009118088944270434
Rv0539,0.012897030572454414
Rv0540,0.013270911436554076
Rv0541c,0.018049849409362828
Rv0542c,0.015605388809396246
Rv0543c,0.012001316123767685
Rv0544c,0.015256915242263046
Rv0545c,0.01877324951124604
Rv0546c,0.020495084867747128
Rv0547c,0.0166731089102695
Rv0548c,0.019358609319515614
Rv0549c,0.017509949676821228
Rv0550c,0.013761929736792276
Rv0551c,0.01244570727449828
Rv0552,0.013458476373868563
Rv0553,0.011428836587297448
Rv0554,0.01757648477474946
Rv0555,0.01979118287678832
Rv0556,0.019952325174380083
Rv0557,0.015415409021898849
Rv0558,0.01620431706412877
Rv0559c,0.008576078522353373
Rv0560c,0.015095165453929821
Rv0561c,0.013156102406755776
Rv0562,0.013555374570247634
Rv0563,0.018628745614547353
Rv0564c,0.017989183883361456
Rv0565c,0.014274608079683856
Rv0566c,0.017091489609511904
Rv0567,0.017655652871009116
Rv0568,0.017190023197743133
Rv0569,0.0162275475907223
Rv0570,0.017531252026119774
Rv0571c,0.017901239069185563
Rv0572c,0.02038482504364307
Rv0573c,0.015443881582386543
Rv0574c,0.014571926058140073
Rv0575c,0.01837260523247005
Rv0576,0.009967490068434571
Rv0577,0.012601626608905856
Rv0578c,0.016234626460761632
Rv0579,0.015533211998843397
Rv0580c,0.013147659826808421
Rv0581,0.014819269012849318
Rv0582,0.018463888336969724
Rv0583c,0.016391772177012064
Rv0584,0.012441498061581806
