,Gene Expr MI Eigenvector Centrality
Rv0713,0.019290638950315776
Rv0714,0.01707028887254381
Rv0715,0.01709245204713695
Rv0716,0.01741112173547142
Rv0717,0.016764852517545833
Rv0718,0.01902617052504501
Rv0719,0.017863732560863373
Rv0720,0.015512523130162999
Rv0721,0.01582858766348718
Rv0723,0.01864383105957818
Rv0724,0.0185123858987573
Rv0725c,0.01178889575961621
Rv0726c,0.013376841937345832
Rv0727c,0.016994615809933653
Rv0728c,0.018567134189553802
Rv0729,0.015001372976439742
Rv0730,0.014494716418485975
Rv0731c,0.017446338834213745
Rv0732,0.020721512021375503
Rv0733,0.020157256250987278
Rv0734,0.020955640769750365
Rv0735,0.017821629802442517
Rv0736,0.016389526615498615
Rv0737,0.011136623140834202
Rv0738,0.013923369016087211
Rv0739,0.01708178977972522
Rv0740,0.00986477607153476
Rv0742,0.013822071038248578
Rv0743c,0.011467248621378134
Rv0744c,0.009470459729701508
Rv0745,0.013887316872846832
Rv0746,0.013169922321182697
Rv0747,0.012941286891843849
Rv0748,0.011250924961033968
Rv0749,0.014954066737458898
Rv0749A,0.014764866311679802
Rv0750,0.013688812065123733
Rv0751c,0.016281848087775608
Rv0752c,0.016262564513757845
Rv0753c,0.015623594684381847
Rv0754,0.014437665062043878
Rv0755c,0.013449371727218211
Rv0756c,0.014714097448731816
Rv0757,0.011662011265231254
Rv0758,0.013723928951566225
Rv0759c,0.01808986394474205
Rv0760c,0.01628682432266897
Rv0761c,0.019103934695236822
Rv0762c,0.017293896261894467
Rv0763c,0.010505878289771087
Rv0764c,0.01726057255251976
Rv0765c,0.01619753051726607
Rv0766c,0.01804533781057169
Rv0767c,0.01772580026697049
Rv0768,0.02001338083877227
Rv0769,0.016355443104423436
Rv0770,0.015473354952454178
Rv0771,0.016227905603413213
Rv0772,0.021324570192127346
Rv0773c,0.020749923636626273
Rv0774c,0.020008991451831167
Rv0775,0.013755652891975424
Rv0776c,0.013053491162967336
Rv0777,0.012353934950697202
Rv0778,0.01928075459334061
Rv0779c,0.01666911743109309
Rv0780,0.017969833496475265
Rv0783c,0.018100203721850974
Rv0784,0.01899007739261087
Rv0785,0.020716160649947905
Rv0786c,0.013567153910998164
Rv0787,0.01942501750748517
Rv0787A,0.010234811596112493
Rv0788,0.017001077635829316
Rv0789c,0.017279834810837315
Rv0790c,0.015663964163166656
Rv0791c,0.013985645305957993
Rv0792c,0.015332923477289246
Rv0793,0.0143117048329055
Rv0794c,0.015711988985987912
Rv0797,0.014421330728698452
Rv0798c,0.017992731637624403
Rv0799c,0.01848897930237471
Rv0800,0.019029413643292765
Rv0801,0.015550736538861147
Rv0802c,0.016235303768850726
Rv0803,0.017139874164179492
Rv0804,0.014404765967564044
Rv0805,0.01620300096060748
Rv0806c,0.010824309331627128
Rv0807,0.015039746738000622
Rv0808,0.015338779974282936
Rv0809,0.014345145916322867
Rv0810c,0.01485318646499782
Rv0811c,0.014810631536336978
Rv0812,0.016224455741216344
Rv0813c,0.01981310819091756
Rv0814c,0.01834430138691116
Rv0815c,0.01342960967398654
Rv0816c,0.01767281435662878
Rv0817c,0.015206334455387807
Rv0818,0.0149556568123263
Rv0819,0.018166124386368113
Rv0820,0.019084537943734
Rv0821c,0.014639930446714803
Rv0822c,0.023372913371143136
Rv0823c,0.019926644558133907
Rv0824c,0.02120274205868895
Rv0825c,0.014179589125136048
Rv0826,0.013194376539606452
Rv0827c,0.008865883269315587
Rv0828c,0.0149588485940214
Rv0830,0.009888481461009409
Rv0831c,0.017476028819521428
Rv0832,0.01261676022591674
Rv0833,0.007288722978108779
Rv0834c,0.01731594082227965
Rv0835,0.01329447678025364
Rv0836c,0.011183970385620762
Rv0837c,0.013673190053208962
Rv0838,0.015025682883596894
Rv0839,0.01575307426808867
Rv0840c,0.013915524813317098
Rv0841,0.012119052548544043
Rv0842,0.012585973820395256
Rv0843,0.010552265061090265
Rv0844c,0.01647969041417749
Rv0845,0.013972854850581569
Rv0846c,0.018915257131571696
Rv0847,0.013923208206660802
Rv0848,0.017080200198927524
Rv0849,0.016913663044664552
Rv0851c,0.015383484068581298
Rv0852,0.015016252910993446
Rv0853c,0.017168699468731674
Rv0854,0.011007919999908845
Rv0855,0.015515994562584534
Rv0856,0.008766820342840622
Rv0857,0.013799493354969716
Rv0858c,0.020947255886667245
Rv0859,0.016160727892371263
Rv0860,0.014807115374213612
Rv0861c,0.02139840513540856
Rv0862c,0.016669593357194035
Rv0863,0.009679040463552214
Rv0864,0.014158170476060104
Rv0865,0.01413834713528765
Rv0866,0.01666962441130375
Rv0867c,0.015476760705369812
Rv0868c,0.013049910160859967
Rv0869c,0.017024838668931633
Rv0870c,0.013610787262687203
Rv0871,0.018551627817616052
Rv0872c,0.011933258977719557
Rv0873,0.010414862934570404
Rv0874c,0.021642003878946388
Rv0875c,0.014782123997652845
Rv0876c,0.013531965845482422
Rv0877,0.008452260816725593
Rv0878c,0.012019636662646063
Rv0879c,0.016994644072809265
Rv0880,0.01782152409657868
Rv0881,0.017671225237479438
Rv0882,0.019592160008127354
Rv0883c,0.016114481006766792
Rv0884c,0.014292160710491934
Rv0885,0.017906205775276098
Rv0886,0.015359301587798024
Rv0887c,0.012620757516736778
Rv0888,0.017550536634719192
Rv0889c,0.01557706405758831
Rv0890c,0.02070660160177805
Rv0891c,0.011785369842457634
Rv0892,0.01633914539858866
Rv0893c,0.019692350429363587
Rv0894,0.014285577935424475
Rv0895,0.0174664762536593
Rv0896,0.016710297227097704
Rv0897c,0.016551655559807185
Rv0898c,0.01660890915132577
Rv0899,0.009296012884943288
Rv0900,0.011068944741593999
Rv0901,0.013290869345350566
Rv0902c,0.013679788592268944
Rv0903c,0.015316156240294997
Rv0904c,0.015911369205630285
