,u1,u2,auc,p-value,adj p-value
Rv3249c,21979.0,33713.0,0.394652732888027,0.994956991071636,1.0
Rv3260c,10673.0,15655.0,0.4053859009419629,0.9441414957269948,1.0
Rv3286c,114936.5,211381.5,0.35222237204199586,0.9999999999999997,1.0
Rv3291c,,,,,
Rv3295,7601.0,6725.0,0.5305737819349434,0.3521162741253844,1.0
Rv3301c,,,,,
Rv3328c,,,,,
Rv3334,,,,,
Rv3405c,,,,,
Rv3414c,,,,,
Rv3416,97806.0,175986.0,0.3572273842917251,0.9999999999998375,1.0
Rv3417c,14720.5,10395.5,0.5861004937091894,0.07827182819419463,1.0
Rv3488,,,,,
Rv3557c,53621.0,150176.0,0.2631098593207947,1.0,1.0
Rv3574,47530.5,103438.5,0.3148361584166286,0.99999999999984,1.0
Rv3583c,,,,,
Rv3597c,2560.5,4099.5,0.3844594594594595,0.8363216032375399,1.0
Rv3676,36837.0,71181.0,0.34102649558406933,0.9999999473669627,1.0
Rv3681c,,,,,
Rv3736,2847.5,2702.5,0.513063063063063,0.460024575463309,1.0
Rv3744,,,,,
Rv3765c,29919.0,49956.0,0.37457276995305167,0.9998643423797193,1.0
Rv3830c,,,,,
Rv3833,12773.5,9186.5,0.5816712204007286,0.10476150003230711,1.0
Rv3840,,,,,
Rv3849,70271.0,112821.0,0.3838015860878684,0.999999719623569,1.0
Rv3852,5271.0,4710.0,0.5281033964532612,0.38564975295072834,1.0
Rv3855,,,,,
Rv3862c,5071.0,1583.0,0.76209798617373,0.013217484337557229,0.4538002955894649
Rv3911,33112.0,42992.0,0.4350888258173026,0.9677207608215225,1.0
