Regulator Name,Gene Set Name,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv0022c,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,82.0,7.0,1010,0.8183859649122807,0.7443895174945347,1.0
Rv0022c,Cysteine and methionine metabolism,1010,27.0,82.0,5.0,1010,2.6741440377804016,0.06076949006948903,0.7413877788477661
Rv0022c,Degradation/Utilization/Assimilation,1010,7.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Ergothioneine biosynthesis,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Fatty acid biosynthesis,1010,15.0,82.0,2.0,1010,1.7596153846153846,0.34739890013822494,1.0
Rv0022c,Fatty Acid Metabolism,1010,137.0,82.0,12.0,1010,1.101257142857143,0.4361578859633837,1.0
Rv0022c,Folate Metabolism,1010,13.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Fructose and mannose metabolism,1010,8.0,82.0,1.0,1010,1.6243386243386244,0.49330872932093484,1.0
Rv0022c,Glycerolipid metabolism,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Glycerophospholipid metabolism,1010,50.0,82.0,9.0,1010,2.667223521550284,0.015568433485107457,0.31655814753051825
Rv0022c,Glycolysis/Gluconeogenesis,1010,54.0,82.0,2.0,1010,0.42115384615384616,0.9450095816428333,1.0
Rv0022c,Glyoxylate Metabolism,1010,7.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Histidine Metabolism,1010,10.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Inositol phosphate metabolism,1010,5.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,L-alpha-aminoadipic acid (L-AAA) biosynthesis,1010,1.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Lipid metabolism,1010,11.0,82.0,1.0,1010,1.1333333333333333,0.6079083052476767,1.0
Rv0022c,Lipopolysaccharide Biosynthesis / Recycling,1010,1.0,82.0,1.0,1010,inf,0.0811881188118812,0.8254125412541256
Rv0022c,Membrane Metabolism,1010,67.0,82.0,11.0,1010,2.4124748490945676,0.015126486837766288,0.31655814753051825
Rv0022c,Miscellaneous,1010,6.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Mycobactin biosynthesis,1010,10.0,82.0,4.0,1010,7.880341880341881,0.005814819352373671,0.31655814753051825
Rv0022c,Mycolic Acid Biosynthesis,1010,11.0,82.0,2.0,1010,2.5527777777777776,0.22265045266968614,1.0
Rv0022c,Mycolic acid pathway,1010,14.0,82.0,1.0,1010,0.8689458689458689,0.6968326980119739,1.0
Rv0022c,Nicotinate and nicotinamide metabolism,1010,2.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Nucleotide Salvage Pathway,1010,8.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Other Amino Acid Metabolism,1010,20.0,82.0,2.0,1010,1.2638888888888888,0.4929854805670433,1.0
Rv0022c,Others,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Oxidative Phosphorylation,1010,35.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Pantothenate and CoA Metabolism,1010,18.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Pentose Phosphate Pathway,1010,14.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Peptidoglycan Metabolism,1010,12.0,82.0,1.0,1010,1.0291806958473626,0.6400920079200397,1.0
Rv0022c,p-HBAD biosynthesis,1010,4.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Phenolic glycolipid biosynthesis,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Polyprenyl Metabolism,1010,15.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Propanoate metabolism,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Propanoate Metabolism,1010,5.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Purine and Pyrimidine Biosynthesis,1010,74.0,82.0,3.0,1010,0.45837047602068104,0.9516973311344777,1.0
Rv0022c,Pyruvate Metabolism,1010,24.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Redox Metabolism,1010,25.0,82.0,3.0,1010,1.5638665132336018,0.3313555852933688,1.0
Rv0022c,Riboflavin Metabolism,1010,9.0,82.0,2.0,1010,3.289285714285714,0.16158270779851303,1.0
Rv0022c,Spermidine biosynthesis,1010,1.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Starch and sucrose metabolism,1010,10.0,82.0,2.0,1010,2.875,0.1917810431743679,1.0
Rv0022c,Sulfur metabolism,1010,10.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Thiamine Metabolism,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Threonine and Lysine Metabolism,1010,8.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Transport,1010,101.0,82.0,14.0,1010,1.9901960784313726,0.02659061953371742,0.40550694788919067
Rv0022c,tRNA Charging,1010,2.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1010,18.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Unassigned,1010,1.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Urea Cycle,1010,4.0,82.0,1.0,1010,3.8065843621399176,0.28767549149385413,1.0
Rv0022c,"Valine, Leucine, and Isoleucine Metabolism",1010,26.0,82.0,3.0,1010,1.4942212438084754,0.35454699570494996,1.0
Rv0022c,,1010,3.0,82.0,0.0,1010,0.0,1.0,1.0
Rv0022c,Cholesterol degradation,1010,38.0,82.0,1.0,1010,0.2972972972972973,0.9623998851833521,1.0
Rv0023,"Alanine, Aspartate, and Glutamate Metabolism",1010,28.0,237.0,2.0,1010,0.24451718494271685,0.9950732533410795,1.0
Rv0023,Alternate Carbon Metabolism,1010,19.0,237.0,6.0,1010,1.5184815184815186,0.27428726081888044,1.0
Rv0023,Arabinogalactan biosynthesis,1010,29.0,237.0,10.0,1010,1.748203106886158,0.1176029575008423,0.717378040755138
Rv0023,Arabinogalactan bioynthesis,1010,3.0,237.0,1.0,1010,1.6334745762711864,0.5521030550598596,1.0
Rv0023,Arginine and Proline Metabolism,1010,10.0,237.0,3.0,1010,1.4029304029304028,0.4280929084291513,1.0
Rv0023,Beta oxidation of unsaturated fatty acids,1010,67.0,237.0,23.0,1010,1.7806924384027187,0.024664888787269433,0.30091164320468705
Rv0023,Carbon metabolism,1010,3.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Citric Acid Cycle,1010,32.0,237.0,3.0,1010,0.32891246684350134,0.9898695323363451,1.0
Rv0023,Cofactor,1010,1.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Cofactor and Prosthetic Group Biosynthesis,1010,102.0,237.0,20.0,1010,0.7766662920085422,0.8636703806921335,1.0
Rv0023,Cysteine and methionine metabolism,1010,27.0,237.0,2.0,1010,0.25463829787234044,0.9937240118086313,1.0
Rv0023,Degradation/Utilization/Assimilation,1010,7.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Ergothioneine biosynthesis,1010,3.0,237.0,2.0,1010,6.5702127659574465,0.139061903500275,0.7711614648651615
Rv0023,Fatty acid biosynthesis,1010,15.0,237.0,2.0,1010,0.49754500818330605,0.9003418714363036,1.0
Rv0023,Fatty Acid Metabolism,1010,137.0,237.0,42.0,1010,1.537165991902834,0.023243998275517274,0.30091164320468705
Rv0023,Folate Metabolism,1010,13.0,237.0,3.0,1010,0.9782051282051282,0.6205284133147688,1.0
Rv0023,Fructose and mannose metabolism,1010,8.0,237.0,1.0,1010,0.463680387409201,0.8832780969061148,1.0
Rv0023,Glycerolipid metabolism,1010,3.0,237.0,1.0,1010,1.6334745762711864,0.5521030550598596,1.0
Rv0023,Glycerophospholipid metabolism,1010,50.0,237.0,9.0,1010,0.7047496790757382,0.8675103797640882,1.0
Rv0023,Glycolysis/Gluconeogenesis,1010,54.0,237.0,5.0,1010,0.3184377199155524,0.9984244847237894,1.0
Rv0023,Glyoxylate Metabolism,1010,7.0,237.0,3.0,1010,2.46474358974359,0.2118324702846851,1.0
Rv0023,Histidine Metabolism,1010,10.0,237.0,3.0,1010,1.4029304029304028,0.4280929084291513,1.0
Rv0023,Inositol phosphate metabolism,1010,5.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,L-alpha-aminoadipic acid (L-AAA) biosynthesis,1010,1.0,237.0,1.0,1010,inf,0.2346534653465347,1.0
Rv0023,Lipid metabolism,1010,11.0,237.0,1.0,1010,0.3233050847457627,0.9481044770628988,1.0
Rv0023,Lipopolysaccharide Biosynthesis / Recycling,1010,1.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Membrane Metabolism,1010,67.0,237.0,25.0,1010,2.0524483378256964,0.005925481603408452,0.2226314087323898
Rv0023,Miscellaneous,1010,6.0,237.0,1.0,1010,0.6508474576271186,0.7999387987541241,1.0
Rv0023,Mycobactin biosynthesis,1010,10.0,237.0,5.0,1010,3.310344827586207,0.06053326958788079,0.4102810494289698
Rv0023,Mycolic Acid Biosynthesis,1010,11.0,237.0,3.0,1010,1.2259615384615385,0.4969250506299488,1.0
Rv0023,Mycolic acid pathway,1010,14.0,237.0,2.0,1010,0.5397163120567375,0.8765402042036873,1.0
Rv0023,Nicotinate and nicotinamide metabolism,1010,2.0,237.0,1.0,1010,3.2711864406779663,0.41442267120666487,1.0
Rv0023,Nucleotide Salvage Pathway,1010,8.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Other Amino Acid Metabolism,1010,20.0,237.0,4.0,1010,0.8122317596566524,0.7274566878647808,1.0
Rv0023,Others,1010,3.0,237.0,0.0,1010,0.0,1.0,1.0
Rv0023,Oxidative Phosphorylation,1010,35.0,237.0,13.0,1010,1.9811282467532467,0.04559357091223841,0.4102810494289698
Rv0023,Pantothenate and CoA Metabolism,1010,18.0,237.0,4.0,1010,0.9307173513182097,0.641261149680131,1.0
Rv0023,Pentose Phosphate Pathway,1010,14.0,237.0,3.0,1010,0.8881118881118881,0.6740540101643203,1.0
Rv0023,Peptidoglycan Metabolism,1010,12.0,237.0,3.0,1010,1.0883190883190883,0.5613475260631275,1.0
