,Eigenvector Centrality
Rv0958,2.1586111597804418e-11
Rv0971c,0.0002546375805692461
Rv0972c,0.0002546375805692461
Rv0975c,0.0002546375805692461
Rv0992c,9.651519826163691e-06
Rv0993,7.167471367505284e-06
Rv0994,2.1586111597804418e-11
Rv1001,3.382338193304118e-06
Rv1005c,7.587628691768631e-05
Rv1011,1.8028073161528414e-05
Rv1017c,5.626375753279614e-06
Rv1018c,0.0532673236547848
Rv1023,1.0385276613091593e-05
Rv1029,6.124682457218149e-06
Rv1030,6.124682457218149e-06
Rv1031,6.124682457218149e-06
Rv1058,0.0002250216512470597
Rv1070c,0.0002546375805692461
Rv1071c,0.0002546375805692461
Rv1074c,0.0002546375805692461
Rv1076,2.1586111597804418e-11
Rv1077,2.036256368280729e-05
Rv1079,1.5911791704575075e-05
Rv1082,1.217227414444241e-09
Rv1086,0.0002461106504901247
Rv1092c,0.001621461362711973
Rv1093,8.470915362787081e-06
Rv1094,5.5710674100595405e-05
Rv1098c,5.6322749096547435e-06
Rv1099c,1.8983527129515575e-05
Rv1104,2.1586111597804418e-11
Rv1105,2.1586111597804418e-11
Rv1106c,2.1586111597804418e-11
Rv1110,8.478703547658205e-05
Rv1120c,8.105068577493497e-05
Rv1121,3.711053976165414e-06
Rv1122,3.712268466491381e-06
Rv1124,2.1586111597804418e-11
Rv1127c,3.890202420080761e-06
Rv1130,1.698377271726122e-05
Rv1131,1.6978353437236227e-05
Rv1133c,9.884659528191384e-06
Rv1135A,0.00019521736982191528
Rv1141c,0.0002546375805692461
Rv1142c,0.0002546375805692461
Rv1143,2.3971156624295628e-06
Rv1144,0.0007338849423538218
Rv1155,7.591763840202464e-06
Rv1159,0.08193470951498473
Rv1160,0.00018063486450854588
Rv1161,9.324093358173718e-10
Rv1162,9.324093358173718e-10
Rv1163,9.324093358173718e-10
Rv1164,9.324093358173718e-10
Rv1170,0.0829688328208843
Rv1173,7.512789381388817e-10
Rv1185c,0.0002250216512470597
Rv1187,2.0792651374002953e-06
Rv1188,5.812054722719006e-06
Rv1193,0.0002250216512470597
Rv1200,0.0002133397527380908
Rv1201c,0.0002938997128857392
Rv1202,0.0002938997128857392
Rv1206,0.0002250216512470597
Rv1207,0.008314896065454703
Rv1212c,8.88712734014635e-06
Rv1213,8.88712734014635e-06
Rv1235,0.0011604641644848814
Rv1236,0.0011604641644848814
Rv1237,0.0011604641644848814
Rv1238,0.0011604641644848814
Rv1239c,2.1586111597804418e-11
Rv1240,1.351191673163458e-06
Rv1248c,3.304502998755993e-05
Rv1257c,0.0024980473877643907
Rv1263,2.1586111597804418e-11
Rv1264,8.105068577493497e-05
Rv1280c,2.3154631713227704e-10
Rv1281c,2.3154631713227704e-10
Rv1282c,2.3154631713227704e-10
Rv1283c,2.3154631713227704e-10
Rv1284,1.806014431192037e-06
Rv1285,0.00011229340244823429
Rv1286,0.00011229340244823429
Rv1288,0.001996061602350599
Rv1293,0.0003070979246382842
Rv1294,1.7494381496600246e-05
Rv1295,6.225208095958137e-06
Rv1296,6.225208095958137e-06
Rv1302,0.06875111536204864
Rv1304,7.354626817643591e-07
Rv1305,7.354626817643591e-07
Rv1306,7.354626817643591e-07
Rv1307,7.354626817643591e-07
Rv1308,7.354626817643591e-07
Rv1309,7.354626817643591e-07
Rv1310,7.354626817643591e-07
Rv1311,7.354626817643591e-07
Rv1315,0.06775591221211436
Rv1318c,8.105068577493497e-05
Rv1319c,8.105068577493497e-05
Rv1320c,8.105068577493497e-05
Rv1322A,2.3971156624295628e-06
Rv1323,0.0007338849423538218
