,Eigenvector Centrality
Rv3236c,2.2333257085719904e-07
Rv3247c,3.501516999165451e-05
Rv3248c,1.121592482516394e-05
Rv3255c,0.044337644061246136
Rv3257c,0.06000856831065602
Rv3261,6.25281774811927e-10
Rv3262,6.25281774811927e-10
Rv3264c,0.00965701304009885
Rv3265c,0.06875111536204864
Rv3266c,0.06875196282381903
Rv3273,1.806014431192037e-06
Rv3274c,0.0002546375805692461
Rv3275c,0.0023850845389125964
Rv3276c,0.0023850845389125964
Rv3279c,1.3825163383227317e-05
Rv3280,0.06680289468144947
Rv3281,1.5297844172076557e-05
Rv3283,2.1586111597804418e-11
Rv3285,0.06680289468144947
Rv3290c,2.1586111597804418e-11
Rv3293,1.8402176313970234e-05
Rv3300c,8.910823038182769e-06
Rv3302c,4.8773762083767825e-06
Rv3303c,3.0230167289392144e-05
Rv3307,8.831267589857476e-05
Rv3308,0.06000856831065602
Rv3309c,8.910823038182769e-06
Rv3310,4.706938805032826e-05
Rv3313c,5.022521374990628e-05
Rv3314c,2.1586111597804418e-11
Rv3315c,2.5327382651541203e-06
Rv3316,4.2312093758550874e-06
Rv3317,4.2312093758550874e-06
Rv3318,4.2312093758550874e-06
Rv3319,4.2312093758550874e-06
Rv3322c,2.1586111597804418e-11
Rv3330,4.3072923802110916e-05
Rv3331,2.1586111597804418e-11
Rv3332,4.0800675451818355e-06
Rv3339c,5.002986229536378e-06
Rv3340,0.00012696925685226623
Rv3341,0.00012696925685226623
Rv3356c,1.5422830777883715e-05
Rv3371,2.1586111597804418e-11
Rv3372,5.254160976673787e-06
Rv3373,0.0002546375805692461
Rv3375,2.1586111597804418e-11
Rv3377c,0.00013198377391508484
Rv3378c,0.0012282054834389822
Rv3379c,1.6226225449653714e-05
Rv3382c,8.478703547658205e-05
Rv3383c,0.0002461106504901247
Rv3393,1.2979504414938685e-05
Rv3396c,0.000306579666443468
Rv3398c,0.08358365682080021
Rv3400,0.001996061602350599
Rv3401,3.924816547148722e-06
Rv3409c,9.348824078094224e-10
Rv3410c,0.03334429329521346
Rv3411c,0.03334429329521346
Rv3423c,3.9677405908214816e-06
Rv3432c,0.00019405144384289241
Rv3436c,0.03263752641645716
Rv3441c,5.837676753535782e-06
Rv3464,0.06875294408825312
Rv3465,0.0687528102790504
Rv3468c,0.06875294408825312
Rv3469c,2.1586111597804418e-11
Rv3470c,3.369425158439414e-05
Rv3480c,2.1586111597804418e-11
Rv3487c,2.1586111597804418e-11
Rv3490,5.886772203624062e-06
Rv3494c,2.1586111597804418e-11
Rv3495c,2.1586111597804418e-11
Rv3496c,2.1586111597804418e-11
Rv3497c,2.1586111597804418e-11
Rv3498c,2.1586111597804418e-11
Rv3499c,2.1586111597804418e-11
Rv3500c,2.1586111597804418e-11
Rv3501c,2.1586111597804418e-11
Rv3502c,2.1586111597804418e-11
Rv3504,0.0002546375805692461
Rv3505,0.0002546375805692461
Rv3506,0.0002250216512470597
Rv3509c,3.74135872062409e-05
Rv3513c,0.0002250216512470597
Rv3515c,0.0002250216512470597
Rv3516,0.0002546375805692461
Rv3518c,6.8408105518072795e-09
Rv3522,2.1586111597804418e-11
Rv3523,2.1586111597804418e-11
Rv3526,2.1586111597804418e-11
Rv3529c,0.08450626843409105
Rv3534c,2.1586111597804418e-11
Rv3535c,5.147271489370052e-06
Rv3536c,2.1586111597804418e-11
Rv3537,2.1586111597804418e-11
Rv3538,2.1586111597804418e-11
Rv3540c,2.1586111597804418e-11
Rv3541c,2.1586111597804418e-11
Rv3543c,0.0002546375805692461
Rv3544c,0.0002546375805692461
Rv3545c,6.8408105518072795e-09
Rv3546,0.0002546375805692461
Rv3550,0.0002546375805692461
Rv3551,1.37778736678396e-09
Rv3552,1.37778736678396e-09
Rv3553,5.115993962834579e-06
Rv3556c,0.0002546375805692461
Rv3559c,2.1586111597804418e-11
Rv3560c,0.0002546375805692461
Rv3561,0.0002250216512470597
Rv3562,0.0002546375805692461
Rv3563,0.0002546375805692461
Rv3564,0.0002546375805692461
Rv3565,0.0006967815868356778
Rv3567c,2.1586111597804418e-11
Rv3568c,3.7362365303156563e-10
Rv3569c,2.1586111597804418e-11
Rv3570c,2.1586111597804418e-11
Rv3571,2.1586111597804418e-11
Rv3573c,0.0002546375805692461
Rv3581c,1.8017125904821756e-05
Rv3582c,1.8028073161528414e-05
Rv3588c,1.806014431192037e-06
Rv3592,9.093283812977983e-10
Rv3601c,0.00013898357357288333
Rv3602c,0.0016214213723009145
Rv3606c,0.008314896065454701
Rv3607c,0.008312180001323992
Rv3608c,0.008314896065454703
Rv3609c,0.07029984497148113
Rv3617,2.1586111597804418e-11
Rv3624c,6.148394660180026e-05
Rv3627c,0.07991332106880901
Rv3628,3.523189331920464e-06
Rv3634c,0.0780899624041438
Rv3645,8.105068577493497e-05
Rv3667,9.114409432079482e-05
Rv3670,2.1586111597804418e-11
Rv3696c,6.451723258736273e-06
Rv3700c,1.414781117131916e-05
Rv3701c,1.41385780165859e-05
Rv3702c,1.414781117131916e-05
Rv3703c,1.414781117131916e-05
Rv3704c,2.837923609429107e-05
Rv3708c,5.419913133884238e-06
Rv3709c,5.419913133884238e-06
Rv3710,0.0006104139938113732
Rv3734c,2.1586111597804418e-11
Rv3737,0.00027158281103861715
Rv3740c,2.1586111597804418e-11
Rv3754,0.0006967815868356778
Rv3756c,0.000301432312974176
Rv3757c,0.000301432312974176
Rv3758c,0.000301432312974176
Rv3759c,0.000301432312974176
Rv3761c,0.0002546375805692461
Rv3772,2.509960523725899e-05
Rv3774,0.0002546375805692461
Rv3775,2.1586111597804418e-11
Rv3777,2.9200388689733033e-07
Rv3782,0.06875147218777551
Rv3784,0.06875294408825312
Rv3790,0.06513304631833029
Rv3791,0.06513304631833029
Rv3792,0.06875111536204864
Rv3793,0.06875107553839312
Rv3794,0.06875107553839312
Rv3795,0.06875107553839312
Rv3797,0.0002546375805692461
Rv3799c,0.06680289468144947
Rv3800c,0.0814010743933857
Rv3801c,0.08140184015151328
Rv3802c,0.04994935605399163
Rv3803c,0.0019297686545524093
Rv3804c,0.0019297686545524093
Rv3805c,0.06875107553839312
Rv3806c,0.06513305866274342
Rv3807c,0.06513305866274342
Rv3808c,0.06875147218777551
Rv3809c,0.078089973989253
Rv3817,2.1586111597804418e-11
Rv3818,0.07357604516937673
Rv3820c,2.1586111597804418e-11
Rv3823c,2.1586111597804418e-11
Rv3824c,1.5633209702102428e-09
Rv3825c,0.0845284097152361
Rv3826,0.0002250216512470597
Rv3838c,1.784357799718516e-05
Rv3842c,3.0373042688102075e-05
Rv3846,1.078588127751196e-09
Rv3858c,5.380478770456697e-05
Rv3859c,5.380478770456697e-05
Rv3913,1.1264575618797877e-05
