Regulator Name,Gene Set Name,KEGG Pathway Description,Total Genes,Gene Set Size,Regulator Target Set Size,Overlap,Total Genes,odds-ratio,p-value,Adjusted p-value
Rv0020c,mtu00730,Thiamine metabolism,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00740,Riboflavin metabolism,1171,7.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00750,Vitamin B6 metabolism,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00760,Nicotinate and nicotinamide metabolism,1171,20.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00770,Pantothenate and CoA biosynthesis,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00780,Biotin metabolism,1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00785,Lipoic acid metabolism,1171,12.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00790,Folate biosynthesis,1171,27.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00860,Porphyrin metabolism,1171,36.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00900,Terpenoid backbone biosynthesis,1171,23.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00903,Limonene degradation,1171,5.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00906,Carotenoid biosynthesis,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00907,"Pinene, camphor and geraniol degradation",1171,9.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00910,Nitrogen metabolism,1171,22.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00920,Sulfur metabolism,1171,21.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00930,Caprolactam degradation,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00946,Degradation of flavonoids,1171,1.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00970,Aminoacyl-tRNA biosynthesis,1171,69.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00983,Drug metabolism - other enzymes,1171,11.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00984,Steroid degradation,1171,41.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu00999,Biosynthesis of various plant secondary metabolites,1171,2.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu01040,Biosynthesis of unsaturated fatty acids,1171,6.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu01053,Biosynthesis of siderophore group nonribosomal peptides,1171,10.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu01100,Metabolic pathways,1171,698.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu01110,Biosynthesis of secondary metabolites,1171,374.0,0.0,0.0,1171,,1.0,1.0
Rv0020c,mtu01120,Microbial metabolism in diverse environments,1171,235.0,0.0,0.0,1171,,1.0,1.0
