,"Alanine, Aspartate, and Glutamate Metabolism",Whole Metabolism,Alternate Carbon Metabolism,Arabinogalactan biosynthesis,Arginine and Proline Metabolism,Beta oxidation of unsaturated fatty acids,Carbon metabolism,Citric Acid Cycle,Cofactor,Cofactor and Prosthetic Group Biosynthesis,Cysteine and methionine metabolism,Degradation/Utilization/Assimilation,Ergothioneine biosynthesis,Fatty acid biosynthesis,Fatty Acid Metabolism,Folate Metabolism,Fructose and mannose metabolism,Glycerolipid metabolism,Glycerophospholipid metabolism,Glycolysis/Gluconeogenesis,Glyoxylate Metabolism,Histidine Metabolism,Inositol phosphate metabolism,L-alpha-aminoadipic acid (L-AAA) biosynthesis,Lipid metabolism,Lipopolysaccharide Biosynthesis / Recycling,Membrane Metabolism,Miscellaneous,Mycobactin biosynthesis,Mycolic Acid Biosynthesis,Mycolic acid pathway,Nicotinate and nicotinamide metabolism,Nucleotide Salvage Pathway,Other Amino Acid Metabolism,Others,Oxidative Phosphorylation,Pantothenate and CoA Metabolism,Pentose Phosphate Pathway,Peptidoglycan Metabolism,p-HBAD biosynthesis,Phenolic glycolipid biosynthesis,Polyprenyl Metabolism,Propanoate Metabolism,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism,Redox Metabolism,Riboflavin Metabolism,Spermidine biosynthesis,Starch and sucrose metabolism,Sulfur metabolism,Thiamine Metabolism,Threonine and Lysine Metabolism,Transport,tRNA Charging,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",Unassigned,Urea Cycle,"Valine, Leucine, and Isoleucine Metabolism",Cholesterol degradation
Rv0623,5.268642573207251,635.2791022958529,0.8997464214930891,0.3480446994722276,2.8940108051338216,0.10978950351657325,0.0756117295635101,7.1023323181285685,0.7341959679584937,18.759747645662955,5.854244603964989,,0.0,,1.8679408844563499,0.8388772059560837,0.529143325621444,0.12203824046882755,1.819339440297211,8.504144830297776,1.8548845221150272,0.16731469660567672,0.8498936529410976,,5.000189835918581,0.0,0.0922734072382735,0.23414265411183807,2.279669290496477,1.0154293461206987,0.1898437509927501,0.35247012124538646,0.6067674165676498,2.9949133676990987,0.10343692642442412,3.1387554364791623,2.4756484397632947,0.11432984792188772,0.8874759541886083,2.1512706623026507,12.992361594077776,0.6838957251655425,1.2266376021652015,77.48269397298128,4.593264687079187,9.244508237126297,1.336381445649104,inf,0.1878791610640127,1.5927939494565424,0.23402283739213398,0.027066140861216753,20.493042954058083,12.70972732592932,0.1885862153853855,,0.1543903360907792,2.9425912926850684,90.66990483979644
Rv0302,16.051812960257944,693.2746646890403,0.9801080250238587,0.27588597462112824,2.830687727297988,0.08741598117220646,0.07762115437525284,7.33516690727555,2.071971418538598,24.478520435486253,6.1533151164940625,,0.05268117129580638,,2.611851648923096,1.5228888247326728,0.7882595499725576,0.14965832671206508,1.9689710622232783,8.043801723866347,2.258066757388362,0.3486114597957138,0.6549215932119901,,4.144481295549659,0.016387432819182392,1.318737952742944,1.1898480291740825,1.799040265570645,2.161015821634136,0.24554619210070647,0.32179903988630343,0.41171663534236846,2.856503382838016,0.23499102395452567,5.108742418627324,2.515703663276045,0.4822258001061199,1.6652881922350153,16.857263069762812,12.80753041191085,0.42624943447081914,1.0778284463477066,6.039921005590895,4.297673634450201,7.690194849479731,0.8489015893433872,inf,0.18435832764285512,0.6099393565139358,0.15555128835976634,0.15868816192487,30.001132240922438,12.70972732592932,0.0,,0.17814061678826623,17.529767747444204,99.9783598279687
Rv0158,16.585089119706407,899.4102889676739,0.6557849089325266,0.31558092843900504,1.6913766619379005,0.5003062955238841,0.10042830301233166,24.850069658778164,0.4751387322588571,16.181624525186308,6.065109529706966,,0.08189389518968658,,8.215070923267556,1.5537432252409296,0.302524535349012,0.292562856806554,2.377053047945503,7.694115394838255,3.465360813631798,0.1251624371887957,0.548537077467372,,3.887611050470863,0.004795560686151118,1.2779157043105067,1.8216635261133918,1.6385498518524129,1.4400027286896273,0.160914481928472,0.3154200690629943,1.0848188652723316,2.7251204891753273,0.12858266041095248,4.145108959181097,1.2855566127548699,0.27357157258126125,0.3254247319342817,16.751980853624396,10.877660218949078,0.6627721657226915,1.101932277709417,23.083282127600214,4.88328517322278,8.67561264784799,0.9268005985390806,,0.19806692933433542,0.8536151019412442,0.2202110879280709,0.0,33.380396211707136,12.70972732592932,0.0,,0.18016354598145018,16.437447361087838,102.59880738278548
Rv0330c,11.697496038775443,837.4798412921073,1.5754407149003107,2.914554335443094,2.0533018880552167,0.9424681321394565,0.2317830774409882,15.72863385413197,0.34958961354668655,76.28400275054817,8.88458115334372,,1.7131688352268741,inf,199.65887424448744,3.0236763822746378,2.73255335841636,0.0790830699638086,2.6378875843382343,14.020304251321432,2.9542135328053245,5.165698449611853,1.7395559576603117,,8.792909309421193,0.06581440406219213,7.307507186379571,1.2434474250006478,2.599668682500844,14.633280890377232,2.194897830483952,0.5936978816741819,1.249108385676428,4.44013442222288,1.0416420300677178,12.100806895301979,4.423128344037452,5.277351284373253,6.648729839398829,18.89772024214555,16.497394677366845,3.7320482761437823,2.5555211676970404,102.68786354864996,8.911854720393736,16.053851668929763,2.9636150160329775,,0.6813191488800558,1.2879519892901516,0.7168224700351054,0.7924413545089436,18.584226023754873,5.194765613457581,2.9463472430612168,inf,0.8515353021736315,11.356146068889949,123.00602846824565
Rv2250c,9.533369042136925,695.5443782429844,3.0245172625596566,6.630688429129978,3.6078857890813976,17.847077155474718,0.21042612900431956,12.519094226941414,0.6824298316503826,134.46039306819685,47.93313828786558,,2.881659232912056,,214.21673704755844,4.878773018625682,9.939938055562253,0.10204573256033948,63.754159119693824,47.66405317908721,4.07247318275694,6.879992741350212,3.2408163467627245,,82.10567367110197,0.15869763145880703,12.83132874896614,0.3451477049653957,11.926639430551335,26.1545948065317,4.018654650357076,0.6786303389403318,2.533027448883728,25.711593148908825,1.982628286518487,11.926276818452406,13.707786649471078,9.83497988353819,42.533806093569815,16.18532859224136,13.04265738045906,6.8882532876221525,22.44286408281143,49.940975674119265,22.424327523892696,24.761978517397786,4.237588940073298,,1.2392884083851672,2.7663897099096526,1.4779039549488011,2.4482791755310642,36.102732946158504,12.70972732592932,8.5934568410392,inf,1.427172479488551,32.70494572145479,99.88791814017125
Rv0586,17.89291168470221,770.4995605381321,15.70510039597685,31.254256635086353,10.827435806225546,11.519645197971757,2.1399491500562235,12.84623728294139,2.026635240440161,47.24911579187116,27.44898225945781,,9.346758779581279,inf,64.85038354625928,74.95038958618237,22.06866198295837,3.730174307383106,19.198115516935573,58.02048642524596,13.645481075226433,73.41510314061308,11.398075842835487,,41.48980607953422,2.2621215650070434,64.03128658854382,4.26897045233157,10.008732378678497,94.32756537502776,20.64454668159771,3.8710710101848447,16.143025864145795,17.743049681650156,11.603449918326847,8.51748488884202,49.99823952273912,49.423590059087005,139.19988297394764,17.05366224671624,18.832031777917848,36.44657464775906,12.494846723022844,70.47470302438259,27.085132163363074,20.006608236799792,22.36314245337548,,7.703202738690931,14.979215773329244,7.740691154494459,17.504170094161214,52.74915364276661,12.70972732592932,33.58485618135394,,8.572831069121973,19.15973158363531,101.71403971738557
Rv3597c,13.658196965889195,719.4335158495306,19.66464952119246,38.628138859093156,16.603267664569398,13.768245142226503,2.8719364007432437,14.933668259945572,1.8510989130841897,159.08957967236663,30.48601331981324,,13.679360580731709,,72.01558457101495,34.33774040327932,25.18657180450436,5.62011902174011,19.56195282195527,69.63553178279547,22.83465323277085,31.035565482110762,17.182253758860746,,45.323319321580875,10.02462727319314,173.94016680257982,4.653139352197726,11.20978931667499,105.52056279302846,29.00258726839818,6.058557349884664,19.695770509950513,21.578331094991523,14.672122950149733,12.51987600190107,57.827633384038386,47.116009733326436,151.91457411990172,16.187629167004086,12.80801863145766,42.47662353118465,14.410547903870375,38.14851973657135,30.07887756853528,31.904278488045392,32.76253692723545,,9.693883098604767,19.99989929577149,15.822401295699924,25.672020765855503,61.48666012463537,12.70972732592932,37.10245186119164,,11.26024306504673,11.07151174541901,97.65320436010555
Rv2175c,7.28181137582317,781.094498750174,1.2379378595302186,1.679048756060069,2.444711256746326,1.0572614242283505,0.09774961488716039,12.515200875679934,1.479372647191124,77.18741310078163,8.423728862940587,,1.4397052327286268,inf,199.58988648753595,3.062472332949136,3.4039818383890927,0.06316190805698847,4.042964193509095,13.487769312835946,3.980377512679915,5.0479622187643445,1.6777311072679706,,6.434049669060144,0.14432727364036813,4.591071995715629,1.512220753419912,3.9211300716042237,11.748724101468477,1.8486862540628386,0.5888894541490195,1.359298254613801,3.595593405843637,0.7583188534544935,12.749381019927023,4.314510059748434,4.484736993093397,21.087796849483976,0.8438100506032293,12.80753041191085,4.0881522098293015,2.292615826427803,87.22569886987017,7.949352076407445,16.6655320518266,2.8301322122821957,,0.6240506229567406,1.746402798971338,0.9558156290704641,1.074129624060057,26.033563161953193,12.70972732592932,3.6066097492216396,,0.8525635345372835,5.167809028228696,99.59260002607172
Rv3852,13.9598047415328,707.0980049552472,1.7779282902239282,2.259845189116426,2.7949616952771263,0.6383450695513065,0.906146379367266,13.16314109325947,3.203081072377706,221.1463602073463,7.771214823839517,,0.27477397992100644,inf,6.495173642858157,6.302553983267314,5.298292834104623,0.2271359993699222,9.286747509570864,15.428975378189534,7.119368265644619,2.3134377996825717,1.9185305883525987,,5.971576777078155,0.09101877086603204,8.698420226209203,1.7358436132846713,2.621712639072691,5.5262245360108135,1.6325841381719481,0.5803317054035774,1.2853416025836588,4.567716794710467,1.0446998937180143,11.041240206456806,6.016438106244011,5.0026819393803805,7.772917525933835,16.856043082454217,11.927812783217622,4.951101860299303,1.7476257338383459,44.9145479892344,8.967780682006465,14.884733294487802,1.6363556109857316,,0.7767104312519592,51.292924698488264,0.9695158762784243,1.0328391630494522,41.44098390573932,12.709729561864776,3.1920658715373604,,0.643026685615172,12.244795491338675,99.84119356156992
Rv2912c,5.831994187116403,888.7957280845689,0.41372908330090513,0.43418798309825396,2.1537024566146674,0.0547797222721702,0.27125306959917556,17.25513771782021,2.3981707181004475,12.337489661554322,6.238678445698934,,0.0,,2.1882094801276466,1.3698959276631593,0.777362587147045,0.08343111739132313,1.356272197543236,25.369058628430874,1.9255324092220403,0.0,0.890909099497587,,4.393449594810193,0.01982024722261844,1.4044986085455717,0.5689144310420219,1.9733704350025687,1.454295686312987,0.3563885669214663,0.4346914508075398,0.8254111695618085,3.717788461924096,0.22124883916149862,4.29137832993745,2.7226537905899675,0.4080209163208689,2.270224931261344,13.690901885061994,2.263689769330645,0.555229956147382,1.004902886305564,32.47030118058935,15.630113796492594,9.064859411045568,0.8459401491719902,inf,0.2397908800502633,1.1499521533372712,0.19385375128490515,0.075348285333045,24.54166458478716,12.70972732592932,0.07862604615080578,,0.06580537775908334,3.26064480090468,99.25221512675625
Rv2021c,15.084214929295472,1068.4616983318635,0.6211899484135196,0.12936941601586993,2.924752999833412,0.045917759924511456,0.17336074322706257,31.19096053695335,2.105940976942948,12.852941403552357,6.875770248566767,,0.04447370107666035,inf,1.8666987711587069,1.2144282184319337,0.6132599801107842,0.0522249332224867,1.6495794248766154,26.721114746039778,2.1243042165324035,0.2219764133310074,1.3296475629602644,,4.274926734448549,0.0,0.4010782301543537,0.7165866184147691,2.0651198000668978,0.8456130375852865,0.4150415390782956,0.3724798756559254,0.35138208222612444,3.4134176879341567,0.1862669644135379,3.5968501489473708,1.932945981894887,0.35966820521283166,0.9979840185651188,10.29349236969082,11.780579744977492,0.7630370310154132,0.9515880000534335,23.823031752727818,15.838357680935687,9.063849020533235,1.1107106416539108,inf,0.23882757834257853,1.0270313441071195,0.22439937817605854,0.17162399487479862,26.810843476582328,12.70972732592932,0.0,,0.10056450040560695,16.71479981102809,101.12542622920621
Rv3219,14.114692311244973,707.3135498940287,5.345596196955832,7.79009098598521,24.05844215824795,13.26544325716207,0.36598624351731884,25.97895754955367,3.997586427828586,186.36756247204428,17.55624916430412,,2.305863741604546,inf,52.202872732880884,6.754443566151122,7.913613655208734,0.8907547673497577,16.06224057210953,37.070715455755824,13.361427134418106,8.000168299694037,5.064382925783866,,46.84060088268974,0.24616558413648082,23.304262054992986,3.781046912011213,2.3839607700561514,35.75182495050952,6.538006634613038,1.0756097526678365,5.8054448837155554,8.057941552722339,3.023414451719562,19.84100017529438,11.76457701302247,13.232060592303279,55.05264887215388,16.846250229514066,12.807721647202998,7.04715543132842,11.485413068126281,45.09258911484625,32.48926495380457,46.657955369429295,7.731983297445501,inf,2.2211796070432435,4.945496400764623,2.8451858510663266,1.0614148749293268,97.07122554380592,12.70972732592932,5.132003559609869,,2.053660972227253,11.477239224534825,155.1326850424726
Rv2488c,9.902784715086169,957.6348925448622,5.335413251126867,8.680996669751439,24.04227609227096,13.274283926359029,0.8219611005942793,30.664700544071163,3.997586427828586,185.61265067781255,18.181328473029698,,2.7249699774690734,,51.99498167823588,5.508927827202784,10.842433202524576,0.8289032382415986,37.89224340684505,42.71105140421811,11.233835926557804,5.915210588750167,4.047931681824809,,47.253167329123336,0.22251327539946292,23.822087054226998,4.43876453875047,3.3232412911230527,49.15417694703381,6.129383530759255,0.9578191583965855,6.187666604563681,8.123138341388822,2.892477286100679,21.202433029853523,13.7340803240592,14.284818352137572,79.01178000050356,16.790971609572146,13.032733797642477,5.857378324181966,12.036691147038965,70.7131634977001,33.674949811651025,51.58448457274411,7.1224972582197665,inf,2.4198051324157146,4.566604598082404,2.5917367548004866,0.8217300156305819,102.75758437516807,12.70972732592932,5.9442116056143615,,2.148770064479334,9.892833575586529,98.16136116550457
Rv1994c,14.699186970505506,760.9475676465919,0.7193805351941337,0.1289927246088529,6.336911017712217,0.11996536073039744,0.13725334699645933,6.575294456085235,1.494339773985548,75.0732329418269,13.664278314253941,,0.0,,1.9122724492163288,0.7595699527171517,0.8023251991844079,0.2368772048390319,2.313529349410973,7.135418332936946,2.418586084755367,0.08012828394193804,0.8525544708448641,,4.37987025223543,0.0,0.8526441764924906,0.2001260075247472,3.2691349985330422,2.137979113480876,0.6207808876501935,0.34856025842793764,0.2666888707672417,3.094292062336224,0.09921687071831611,7.018767512232314,3.8375122208738364,0.2531808745663958,3.612799194249438,7.828873704886207,12.527160521302655,0.5490132007388487,1.1044112324215296,26.34150477279947,4.357638114683404,8.32172793373971,1.658201158270414,,0.19905673028511345,0.9744520663312,0.1568122587644175,0.03125977334164012,15.202033904665267,12.70972732592932,0.0,,13.338503216913773,17.391127974317527,89.85238761381733
Rv3849,15.673121854494333,681.4291632473283,0.3872892780517559,0.5717744781055406,2.173009896443811,0.2755157626676802,0.09293464339802203,5.321633855980847,0.5889600210434514,17.13337115155124,5.80742690461791,,0.07280357874843453,,3.0900027805923407,2.0896771915282306,2.1661564426700686,0.10493555550773219,2.1577627340715977,7.074498403152706,2.312331426883772,0.012455114292643668,0.9033039189518254,,4.289810582020676,0.03029775552234922,1.0393993539711728,0.9007238128739269,2.8488035701699785,1.7938115214414336,0.33327363163991475,0.2697857601343302,0.7886965817206926,3.0153040869099583,0.07005985262234048,3.4589933086323756,1.8418391398231444,0.5008812689831788,0.7826452700214638,16.856043082454217,12.80753041191085,0.6617493882070844,1.0328655682803123,26.810362538554987,4.220863669542132,7.779956572146247,1.085773721172416,,0.1793100140057584,1.286274808235336,0.18209848834554093,0.1849003670767479,25.338042806386557,12.70972732592932,0.0,,0.16013085112908354,16.279546766647545,310.5751681311695
Rv0135c,6.165397281000689,683.7478981534996,0.35258730278338274,0.14497104852819906,2.320475106329462,0.06011393639270043,0.2436183129283949,14.011566110035261,0.909565510932556,11.705463937050581,6.449014226143563,,0.00018081132449822822,,1.6398564189179912,1.337317947994536,0.775301055462355,0.07796425429670036,2.882116159185289,6.850455005094591,1.550175101163125,0.1227392633946679,0.8220294503497493,,4.653457015700395,0.0,0.6694270042416561,0.18164202816571826,2.0510633174525044,2.7833143888157537,0.6910518961302101,0.27860433076684016,0.6433960542087408,3.4065853355634066,0.18848195212617944,3.2870502928431637,2.6459542461260996,0.41556852200350564,2.7957515722899684,51.10698664708112,13.059540244413427,0.5889524639491603,1.1899711086632359,51.280489376724546,4.519843651950105,6.762297877381059,2.160010370906023,,0.11254938508936502,1.0720072143123078,0.1769298096362063,0.2837769834130665,13.3399240925184,4.268752360756692,0.15906988708273812,,0.12485935238905459,3.9957063653505704,86.5531492975487
