,pFBA fluxes,IMAT fluxes,FVA IMAT pFBA fluxes,diff imat,diff fva imat,name,annotation,expression,gpr,notes,id,subsystem,genes
51,0.005199414746627261,0.0,0.0007517083200163543,-0.005199414746627261,-0.004447706426610907,D-alanine-D-alanine ligase (reversible),{},2.0 ala__D[c] + atp[c] <=> adp[c] + alaala[c] + h[c] + pi[c],Rv2981c,{},ALAALAr,Arabinogalactan biosynthesis,Rv2981c
52,0.010398829493254522,0.0,0.0015034166400327085,-0.010398829493254522,-0.008895412853221814,Alanine racemase,{},ala__L[c] <=> ala__D[c],Rv3423c,{},ALAR,Arabinogalactan biosynthesis,Rv3423c
53,0.006474599312956201,-0.0,0.0009360688480330334,-0.006474599312956201,-0.0055385304649231675,DCPDPP,{},decdpr_tb[c] + h2o[c] --> decdr_tb[c] + pi[c],Rv3807c,{},DCPDPP,Arabinogalactan biosynthesis,Rv3807c
54,0.006474599312956201,-0.0,0.0009360688480330334,-0.006474599312956201,-0.0055385304649231675,"Decaprenylphosphoryl  ribose, arabinofuranose isomerization",{},decdr_tb[c] <=> decda_tb[c],Rv3790 and Rv3791,{},DCPE,Arabinogalactan biosynthesis,"Rv3791,Rv3790"
55,0.006474599312956201,-0.0,0.0009360688480330335,-0.006474599312956201,-0.0055385304649231675,Phosphoribose transferase (undecaprenyl phosphate),{},decd_tb[c] + prpp[c] --> decdpr_tb[c] + ppi[c],Rv3806c,{},DCPT,Arabinogalactan biosynthesis,Rv3806c
56,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,Glucose-1-phosphate thymidylyltransferase,{},dttp[c] + g1p[c] + h[c] --> dtdpglu[c] + ppi[c],Rv0334,{},G1PTT,Arabinogalactan biosynthesis,Rv0334
57,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,Galactofuranose transferse (M tb),{},h2o[c] + ragund[c] + 30.0 udpgalfur[c] --> galfragund[c] + 30.0 h[c] + 30.0 udp[c],Rv3808c and Rv3782,{},GALFT,Arabinogalactan biosynthesis,"Rv3782,Rv3808c"
58,9.119153961910143e-05,-0.0,1.318406828215539e-05,-9.119153961910143e-05,-7.800747133694604e-05,Rhamnosyltransferase (LPS O16 antigen biosynthesis),{},dtdprmn[c] + unaga[c] --> dtdp[c] + h[c] + ragund[c],Rv3265c and Rv1525,{},O16RHAT,Arabinogalactan biosynthesis,"Rv3265c,Rv1525"
59,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,"DTDP-4-dehydrorhamnose 3,5-epimerase",{},dtdp4d6dg[c] --> dtdp4d6dm[c],Rv3465,{},TDPDRE,Arabinogalactan biosynthesis,Rv3465
60,9.119153961910143e-05,-0.0,1.318406828215539e-05,-9.119153961910143e-05,-7.800747133694604e-05,DTDP-4-dehydrorhamnose reductase,{},dtdp4d6dm[c] + h[c] + nadph[c] --> dtdprmn[c] + nadp[c],Rv3266c,{},TDPDRR,Arabinogalactan biosynthesis,Rv3266c
61,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,"DTDPglucose 4,6-dehydratase",{},dtdpglu[c] --> dtdp4d6dg[c] + h2o[c],Rv3464 and (Rv3468c or Rv3784),{},TDPGDH,Arabinogalactan biosynthesis,"Rv3464,Rv3784,Rv3468c"
62,0.002735746188573043,-0.0,0.000395522048464662,-0.002735746188573043,-0.0023402241401083808,UDPgalactopyranose mutase,{},udpgal[c] --> udpgalfur[c],Rv3809c,{},UDPGALM,Arabinogalactan biosynthesis,Rv3809c
63,-0.0,0.0,-0.0,0.0,0.0,R_ALDR,{},arab__D[c] + h[c] + nadph[c] --> arabl__D[c] + nadp[c],,{},ALDR,Arabinogalactan biosynthesis,
64,-0.0,0.0,-0.0,0.0,0.0,R_AL4D,{},arabl__D[c] + nad[c] --> h[c] + nadh[c] + xylu__D[c],Rv1928c,{},AL4D,Arabinogalactan biosynthesis,Rv1928c
65,0.0,0.0,0.0,0.0,0.0,R_MANT1,{},PIM4[c] + decdman1p_tb[c] --> LM[c] + decd_tb[c],Rv1635c and Rv2174 and Rv2181,{},MANT1,Arabinogalactan biosynthesis,"Rv1635c,Rv2174,Rv2181"
66,9.119153961910143e-05,-0.0,1.31840682821554e-05,-9.119153961910143e-05,-7.800747133694602e-05,EMB,{},agalfragund[c] + 70.0 decda_tb[c] <=> arabinanagalfragund[c] + 70.0 decd_tb[c],Rv3794 and Rv3795 and Rv3793 and Rv2673 and Rv3805c,{},EMB,Arabinogalactan biosynthesis,"Rv2673,Rv3794,Rv3805c,Rv3793,Rv3795"
67,0.0,0.0,0.0,0.0,0.0,R_ARABT,{},LM[c] + decda_tb[c] --> LAM[c] + decd_tb[c],Rv1635c and Rv2181 and Rv3793,{},ARABT,Arabinogalactan bioynthesis,"Rv1635c,Rv3793,Rv2181"
68,0.015022277976651427,1.0,1.0,0.9849777220233485,0.9849777220233485,Acetylglutamate kinase,{},acglu[c] + atp[c] --> acg5p[c] + adp[c],Rv1654,{},ACGK,Arginine and Proline Metabolism,Rv1654
69,-0.015022277976651427,-1.0,-1.0,-0.9849777220233485,-0.9849777220233485,Acetylornithine transaminase,{},acorn[c] + akg[c] <=> acg5sa[c] + glu__L[c],Rv1655,{},ACOTA,Arginine and Proline Metabolism,Rv1655
70,-0.015022277976651427,-1.0,-1.0,-0.9849777220233485,-0.9849777220233485,N-acetyl-g-glutamyl-phosphate reductase,{},acg5sa[c] + nadp[c] + pi[c] <=> acg5p[c] + h[c] + nadph[c],Rv1652,{},AGPR,Arginine and Proline Metabolism,Rv1652
71,0.0,-0.0,-0.0,-0.0,-0.0,Arginine deiminase,{},arg__L[c] + h2o[c] --> citr__L[c] + nh4[c],Rv1001,{},ARGDr,Arginine and Proline Metabolism,Rv1001
72,0.0,1.0,0.9978281456873637,1.0,0.9978281456873637,Arginine succinyltransferase,{},arg__L[c] + succoa[c] --> coa[c] + h[c] + sucarg[c],,{},AST,Arginine and Proline Metabolism,
73,0.017219108363371507,-0.0,0.0024894623050422844,-0.017219108363371507,-0.014729646058329222,L-glutamate 5-semialdehyde dehydratase (spontaneous),{},glu5sa[c] --> 1pyr5c[c] + h2o[c] + h[c],,{},G5SADs,Arginine and Proline Metabolism,
74,0.015022277976651427,1.0,1.0000000000000002,0.9849777220233485,0.9849777220233488,Ornithine carbamoyltransferase,{},cbp[c] + orn[c] <=> citr__L[c] + h[c] + pi[c],Rv1656,{},OCBT,Arginine and Proline Metabolism,Rv1656
75,0.0,-0.0,-0.0,-0.0,-0.0,Ornithine transaminase,{},akg[c] + orn[c] --> glu5sa[c] + glu__L[c],Rv2321c or Rv2322c,{},ORNTA,Arginine and Proline Metabolism,"Rv2321c,Rv2322c"
76,0.015022277976651427,1.0,1.0,0.9849777220233485,0.9849777220233485,Ornithine transacetylase,{},acorn[c] + glu__L[c] <=> acglu[c] + orn[c],Rv1653,{},ORNTAC,Arginine and Proline Metabolism,Rv1653
77,0.017219108363371507,0.0,0.0024894623050422844,-0.017219108363371507,-0.014729646058329222,Pyrroline-5-carboxylate reductase,{},1pyr5c[c] + 2.0 h[c] + nadph[c] --> nadp[c] + pro__L[c],Rv0500,{},P5CR,Arginine and Proline Metabolism,Rv0500
78,0.0,0.0,0.0,0.0,0.0,Pyrroline-5-carboxylate reductase(nadh),{},1pyr5c[c] + 2.0 h[c] + nadh[c] --> nad[c] + pro__L[c],Rv0500,{},P5CRx,Arginine and Proline Metabolism,Rv0500
79,0.0,-0.0,0.0,-0.0,0.0,Proline dehydrogenase,{},fad[c] + pro__L[c] --> 1pyr5c[c] + fadh2[c] + h[c],Rv1188,{},PROD2,Arginine and Proline Metabolism,Rv1188
